observableId	simulationConditionId	time	measurement	observableParameters	noiseParameters
PKA_active	TH17	0	1e-08	scale_PKA_active	sigma_const
Free_IL6_obs	TH17	5	0.022509117	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	5	0.022509117	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	5	0.022509117	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TH17	5	0.017205482	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	5	0.017205482	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	5	0.017205482	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TH17	5	99.645306	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	5	99.645306	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	5	99.645306	scale_IL6R_Active	sigma_const
TGFbR_Active	TH17	5	0.92500841	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	5	0.92500841	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	5	0.92500841	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TH17	5	0.031568097	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	5	0.031568097	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	5	0.031568097	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TH17	5	5.8036092	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	5	5.8036092	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	5	5.8036092	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TH17	5	26.616766	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TH17	5	26.616766	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TH17	5	26.616766	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TH17	5	0.012039567	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	5	0.012039567	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	5	0.012039567	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	5	0.02968827	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	5	0.02968827	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	5	0.02968827	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TH17	5	0.007533389	scale_PKA_active	sigma_const
PKA_active	TH17	5	0.007533389	scale_PKA_active	sigma_const
PKA_active	TH17	5	0.007533389	scale_PKA_active	sigma_const
Free_IL6_obs	TH17	10	0.022509087	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	10	0.022509087	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	10	0.022509087	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TH17	10	0.012482265	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	10	0.012482265	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	10	0.012482265	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TH17	10	99.645337	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	10	99.645337	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	10	99.645337	scale_IL6R_Active	sigma_const
TGFbR_Active	TH17	10	0.96250498	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	10	0.96250498	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	10	0.96250498	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TH17	10	0.057911408	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	10	0.057911408	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	10	0.057911408	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TH17	10	6.1648308	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	10	6.1648308	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	10	6.1648308	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TH17	10	50.182782	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TH17	10	50.182782	scale_STAT3d_active_obs	sigma_const
